model_id,model_full_name,organization,modeling_status,S_gpqa_diamond_diamond_openrouter_fixed_set_accuracy_tools_no,S_livebench_logic_with_navigation_2026_06_25_task_score_tools_no,S_livebench_zebra_puzzle_2026_06_25_task_score_tools_no,S_livebench_amps_hard_2026_06_25_task_score_tools_no,S_livebench_math_comp_2026_06_25_task_score_tools_no,S_livebench_olympiad_2026_06_25_task_score_tools_no,S_aa_omniscience_6_000_question_snapshot_2026_08_16_omniscience_index_tools_no,S_hle_text_only_aa_2_158_question_subset_snapshot_2026_08_16_accuracy_tools_no,S_aa_lcr_100_question_snapshot_2026_08_16_accuracy_tools_no,S_corpusqa_1m_1m_acc_tools_no,S_mrcr_1m_1m_mmr_tools_no,S_frontierswe_reported_dominance_score_tools_agent_harness,S_livebench_code_completion_2026_06_25_task_score_tools_no,S_livebench_code_generation_2026_06_25_task_score_tools_no,S_livebench_javascript_2026_06_25_task_score_tools_no,S_livebench_python_2026_06_25_task_score_tools_no,S_livebench_typescript_2026_06_25_task_score_tools_no,S_programbench_reported_accuracy_tools_agent_harness,S_swe_verified_verified_resolved_tools_agent_tools,S_mmmu_pro_aa_protocol_snapshot_2026_08_16_accuracy_tools_no,S_mathvision_reported_accuracy_tools_no
kimi_k3_max,Kimi K3 (max reasoning),Moonshot AI,CORE_MODEL,0.6995882942617646,0.8114441191120675,0.6036361845713646,-1.5854945926897093,-0.9049152545869913,0.3914785667339329,0.2523569226170935,0.2385709900183311,2.028197957922679,NA,NA,0.9250578523186697,0.654653670707977,0.29066126464407205,0.590618266178329,1.2562885295843536,1.0148118206971861,0.8549129341247733,NA,-0.8160095869575301,0.42382289061768014
gpt_5_6_sol_max,GPT-5.6 Sol (max),OpenAI,CORE_MODEL,NA,1.1235380110782471,0.6036361845713646,0.17616606585440103,-0.9049152545869913,0.4151719050231925,0.392060619262651,0.7604450306834347,0.2797514424721004,NA,NA,-0.19178028645630982,0.9819805060619665,0.7377713954267728,-0.06565633248384417,0.11420804814403214,0.7673184757746586,0.8185336603322293,NA,1.1645962066287143,0.836637394466072
gpt_5_5_xhigh,GPT-5.5 (xhigh),OpenAI,CORE_MODEL,1.0701461985507081,0.18725633517970824,0.6036361845713646,-1.5854945926897093,0.10031819530561543,0.23101004832029864,NA,0.01491068687614716,0.7460038465922456,NA,NA,-0.9137766589977093,0.654653670707977,0.5141369707647826,-0.06565633248384417,0.11420804814403214,0.27225753050058366,-0.41836164861425,NA,-1.2517428615464743,-0.15411741477006694
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Anthropic,CORE_MODEL,-1.6586264086957798,0.4993502271458879,0.6036361845713646,1.9378267243985114,-0.9049152545869913,1.035506580232943,1.706918940632581,1.962619160072702,-0.06993786061801151,NA,NA,1.5342422916504752,0.32732683535398954,2.0789430692335933,0.590618266178329,1.2562885295843536,1.0148118206971861,0.6730165651620558,NA,NA,0.5614277252338108
claude_opus_4_8_max,Claude Opus 4.8 (max),Anthropic,CORE_MODEL,0.08358524669831606,0.4993502271458879,0.6036361845713646,0.17616606585440103,2.111810843509077,0.7027228742610486,NA,0.5926998033267865,-1.3521319719484488,NA,NA,-0.7107151792204407,0.9819805060619665,0.06702683998208407,0.590618266178329,-0.45683219257612856,-0.4702967596960187,-0.21827564275525907,NA,NA,-1.6677705955475037
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Google DeepMind,CORE_MODEL,1.3220325094426115,-0.43693144875265105,-0.2207743452830456,0.17616606585440103,0.10031819530561543,0.6354122541211018,NA,0.2665285279110995,0.7460038465922456,-1.13753716024173,-0.8728715609439701,NA,0.0,-0.6035589969213272,-0.7217865680578825,-0.45683219257612856,-1.212851049892621,NA,NA,0.4911902368093935,NA
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek,CORE_MODEL,-0.3152409797396254,-1.6853070166173696,0.15649827007405737,0.17616606585440103,0.10031819530561543,-0.16046851841363424,-0.9104709053444405,-0.9449647807757361,-0.5361902647381918,0.7405443257949489,1.0910894511799616,NA,-1.309307341415954,-1.2741448338247363,-1.3780611667200557,-0.45683219257612856,-1.212851049892621,NA,0.7071067811865476,NA,NA
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek,CORE_MODEL,-0.4621684269008091,-1.6853070166173696,-2.232894960520928,0.17616606585440103,1.1065773936164702,-2.364487464276048,NA,-1.4388812835480724,-0.8858795678283075,0.3969928344467761,-0.21821789023599156,NA,-1.9639610121239308,-0.8271934215833152,-1.3780611667200557,-2.169952914736611,-1.212851049892621,NA,-0.7071067811865476,NA,NA
qwen3_8_max,Qwen3.8-Max,Alibaba Qwen,CORE_MODEL,NA,-0.12483755678647142,0.6036361845713646,0.17616606585440103,-0.9049152545869913,0.12331305609638217,-0.7522770135546205,-0.5349208916817249,-0.8858795678283075,NA,NA,NA,-0.654653670707977,-1.0506691277040257,1.9030231004145395,0.6852482888641929,1.2623794210487336,NA,NA,0.41196600506593456,NA
glm_5_2_max,GLM-5.2 (max),Zhipu AI / Z.ai,CORE_MODEL,-0.7393164336171685,0.8114441191120675,-1.3246460716982726,0.17616606585440103,0.10031819530561543,-1.0096593020992026,-0.6885885636132646,-0.9170072428829688,-0.06993786061801151,NA,NA,-0.6430280192946851,0.32732683535398954,0.06702683998208407,-0.06565633248384417,0.11420804814403214,-0.2227291593444712,-1.7098258682495442,NA,NA,NA
