model_id,model,scene,scene_label,ces_utility,ces_rank,q1_reference_rank,delta_rank_vs_q1,linear_rank,pri,priority_improvement_dimension,priority_improvement_label,parameter_mean_rank,parameter_best_rank,parameter_worst_rank,parameter_top3_proportion,equal_prior_top3_proportion,mean_rank_equal_minus_q1,q1_uncertainty_top3_probability,q1_uncertainty_rank1_probability,q1_uncertainty_utility_ci_low,q1_uncertainty_utility_ci_high,previous_rank,next_rank,scene_first,scene_first_competitor,closest_utility,strongest_scene,weakest_scene
kimi_k3_max,Kimi K3 (max reasoning),research,科研长文本分析,0.9012926282950031,2,3,-1,2,0.002513052284683005,C2,事实可靠,2.3333333333333335,2,3,1.0,1.0,-0.3333333333333335,0.7505,0.149,0.8253219504965729,0.9583073303862907,"Claude Fable 5 (max, with fallback)",GPT-5.6 Sol (max),"Claude Fable 5 (max, with fallback)","Claude Fable 5 (max, with fallback)",GPT-5.6 Sol (max),coding,dialogue
kimi_k3_max,Kimi K3 (max reasoning),dialogue,大众日常对话,0.8687069582921643,3,3,0,3,0.0025355801051609363,C2,事实可靠,3.2905982905982905,3,4,0.7094017094017094,1.0,-0.29059829059829045,0.4955,0.0005,0.799795138593773,0.9275692247938032,GPT-5.6 Sol (max),Gemini-3.1-Pro (High),"Claude Fable 5 (max, with fallback)","Claude Fable 5 (max, with fallback)",Gemini-3.1-Pro (High),coding,dialogue
kimi_k3_max,Kimi K3 (max reasoning),coding,计算机代码开发,0.9813020054113565,1,3,-2,1,1.7837680971116263e-05,C4,代码工程,1.1111111111111112,1,2,1.0,1.0,0.0,0.9475,0.381,0.8578634719648628,0.9964723925256423,,"Claude Fable 5 (max, with fallback)",Kimi K3 (max reasoning),"Claude Fable 5 (max, with fallback)","Claude Fable 5 (max, with fallback)",coding,dialogue
