uncertainty_scope,perspective,model_id,model,dimension,theta_bootstrap_mean,theta_bootstrap_sd,score_bootstrap_mean,score_bootstrap_sd,score_ci_low,score_ci_high,rank_ci_low,rank_ci_high,T_d,top3_probability,availability_note
DIMENSION_LATENT_SCORE,,gemini_3_1_pro_high,Gemini-3.1-Pro (High),C3,-0.03549448741801422,0.10913855026544514,38.46215569091086,45.08308260963627,0.0,100.0,,,0.6,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gemini_3_1_pro_high,Gemini-3.1-Pro (High),C4,-0.000336946610214518,0.003747748624293752,50.22423582899119,2.4553599530566963,45.59167344369457,55.101415263142,,,0.5636363636363636,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gemini_3_1_pro_high,Gemini-3.1-Pro (High),C5,0.0018984673521546284,0.04367607106980746,51.31080130174763,30.124800963007022,0.0,100.0,,,0.5892857142857143,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,glm_5_2_max,GLM-5.2 (max),C1,-0.0030121402009332747,0.019211583288514175,45.939797895615804,32.15399690938559,0.0,100.0,,,0.5757575757575757,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,glm_5_2_max,GLM-5.2 (max),C2,-0.008504799215780168,0.038717052644400014,42.20591829607574,34.5344141953505,0.0,100.0,,,0.6181818181818182,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,glm_5_2_max,GLM-5.2 (max),C3,0.00030291477607053357,0.009570230789182534,50.74681888707196,13.023626601168859,26.05175033643598,74.31390891188455,,,0.6,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,glm_5_2_max,GLM-5.2 (max),C4,-0.006219261664087888,0.03391614311990969,47.531157327625706,15.516872419020393,17.75604980027951,78.28314934078371,,,0.5636363636363636,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,glm_5_2_max,GLM-5.2 (max),C5,,,,,,,,,0.5892857142857143,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_5_xhigh,GPT-5.5 (xhigh),C1,0.003106568701403547,0.0201039405029254,55.65837306047844,33.05223786237944,0.0,100.0,,,0.5757575757575757,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_5_xhigh,GPT-5.5 (xhigh),C2,-0.00041793812062196936,0.013603727661534065,48.331881624668064,18.016989101765514,13.241262558691309,85.42631321827336,,,0.6181818181818182,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_5_xhigh,GPT-5.5 (xhigh),C3,-3.735250436469981e-05,0.011064112344269803,50.60204416716348,13.607559676103389,23.024154322668778,74.49032684085587,,,0.6,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_5_xhigh,GPT-5.5 (xhigh),C4,-0.004044449877356395,0.026126921924180892,48.54241060424397,12.065477328467106,26.540007493604026,71.93922003604891,,,0.5636363636363636,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_5_xhigh,GPT-5.5 (xhigh),C5,-0.013607174215938983,0.07143177518648168,43.79357060919357,36.61665890856598,0.0,100.0,,,0.5892857142857143,,rank CI unavailable for dimension-level BT score rows
DIMENSION_LATENT_SCORE,,gpt_5_6_sol_max,GPT-5.6 Sol (max),C1,0.0010947166026539534,0.010706272170894305,52.51365450750092,22.51386450220278,4.692855742351915,100.0,,,0.5757575757575757,,rank CI unavailable for dimension-level BT score rows
