bootstrap,model_id,overall_score,rank
12,deepseek_v4_pro_max,29.028990198410547,10
13,deepseek_v4_flash_max,75.79915025332593,1
13,claude_opus_4_8_max,68.48345523991722,2
13,deepseek_v4_pro_max,65.08876432802987,3
13,gpt_5_5_xhigh,55.64633215426031,4
13,kimi_k3_max,49.00563658427142,5
13,glm_5_2_max,48.90940852811356,6
13,gemini_3_1_pro_high,47.92730173159681,7
13,qwen3_8_max,43.68137213354833,8
13,gpt_5_6_sol_max,40.32953722303935,9
13,claude_fable_5_max,17.643536694580682,10
14,claude_fable_5_max,71.55757353355044,1
14,gemini_3_1_pro_high,60.41787725177154,2
14,gpt_5_6_sol_max,44.48083534532371,3
14,claude_opus_4_8_max,42.96434013029939,4
14,deepseek_v4_pro_max,42.88299400457109,5
14,kimi_k3_max,42.73509135657751,6
14,glm_5_2_max,38.624103356394016,7
14,qwen3_8_max,30.309480432693118,8
14,gpt_5_5_xhigh,26.46489284051041,9
14,deepseek_v4_flash_max,24.290689170158053,10
15,deepseek_v4_pro_max,68.61933983782602,1
15,deepseek_v4_flash_max,56.01423163693947,2
15,claude_fable_5_max,36.56183244381258,3
15,claude_opus_4_8_max,30.38923550207509,4
15,gpt_5_5_xhigh,26.725763696543893,5
15,gemini_3_1_pro_high,25.144860859894713,6
15,qwen3_8_max,24.644070857091254,7
15,gpt_5_6_sol_max,23.142157829123775,8
15,kimi_k3_max,21.409253210189362,9
15,glm_5_2_max,20.633816975449626,10
16,claude_fable_5_max,70.14113025700428,1
16,claude_opus_4_8_max,53.85168201883687,2
16,glm_5_2_max,53.60600523672151,3
16,deepseek_v4_flash_max,53.41040210934248,4
16,gpt_5_6_sol_max,52.84361847748403,5
16,deepseek_v4_pro_max,40.97206064422427,6
16,qwen3_8_max,39.838308120303374,7
16,gpt_5_5_xhigh,37.14929762821885,8
16,kimi_k3_max,35.681248780083514,9
16,gemini_3_1_pro_high,28.401361410878977,10
17,claude_fable_5_max,75.47538491619486,1
17,deepseek_v4_pro_max,65.89747696543817,2
17,kimi_k3_max,61.85255117995567,3
17,claude_opus_4_8_max,60.06072581326854,4
17,gpt_5_6_sol_max,56.59847748754346,5
17,gpt_5_5_xhigh,50.8186677207184,6
17,gemini_3_1_pro_high,38.814665836431196,7
17,qwen3_8_max,26.289286305688357,8
17,glm_5_2_max,23.152173589476355,9
17,deepseek_v4_flash_max,22.87287526201813,10
18,claude_opus_4_8_max,80.79337411436885,1
18,deepseek_v4_flash_max,72.16671690140518,2
18,gpt_5_5_xhigh,70.25589719905153,3
18,qwen3_8_max,70.24181620467638,4
18,gemini_3_1_pro_high,66.361432287393,5
18,deepseek_v4_pro_max,58.0059885418875,6
18,gpt_5_6_sol_max,50.026292647244105,7
18,glm_5_2_max,44.47806068958847,8
18,kimi_k3_max,37.514895879103875,9
18,claude_fable_5_max,34.099790259404266,10
19,claude_fable_5_max,68.89012077214758,1
19,gpt_5_6_sol_max,64.26218182142648,2
19,deepseek_v4_pro_max,52.414812695923814,3
19,kimi_k3_max,45.89211836372683,4
19,gemini_3_1_pro_high,43.699770183775655,5
19,gpt_5_5_xhigh,41.979639132847275,6
19,claude_opus_4_8_max,41.81213597081481,7
19,glm_5_2_max,35.627479595470774,8
19,deepseek_v4_flash_max,31.785862754183796,9
19,qwen3_8_max,26.027735092916245,10
20,deepseek_v4_pro_max,68.48061452632096,1
20,claude_fable_5_max,67.58616091461073,2
20,gpt_5_6_sol_max,48.28095655985888,3
20,kimi_k3_max,47.04776352692289,4
20,gpt_5_5_xhigh,45.97903911564517,5
20,claude_opus_4_8_max,41.95679093993664,6
20,glm_5_2_max,36.397457585067045,7
20,qwen3_8_max,29.923347768151928,8
20,gemini_3_1_pro_high,28.530233081100178,9
20,deepseek_v4_flash_max,26.83290030299976,10
21,deepseek_v4_pro_max,73.3317678940999,1
21,gpt_5_6_sol_max,62.58564056521001,2
21,deepseek_v4_flash_max,48.132411738387304,3
21,claude_fable_5_max,46.27644835559428,4
