bootstrap,dimension,converged,message
16,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
18,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
18,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
18,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
18,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
18,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
20,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
20,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
20,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
20,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
20,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
21,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
21,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
21,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
21,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
21,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
23,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
23,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
23,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
23,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
23,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
24,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
24,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
24,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
24,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
24,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
26,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
26,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
26,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
26,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
26,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
30,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
30,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
30,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
30,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
30,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
31,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
31,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
31,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
31,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
31,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
32,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
32,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
32,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
32,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
32,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
33,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
33,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
33,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
33,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
33,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
34,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
34,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
34,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
34,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
34,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
35,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
35,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
35,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
35,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
35,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
36,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
36,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
36,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
36,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
36,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
37,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
37,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
37,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
37,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
37,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
38,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
38,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
38,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
38,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
38,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
39,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
39,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
39,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
39,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
