bootstrap,model_id,overall_score,rank
18,qwen3_8_max,74.09013659566229,1
18,gpt_5_5_xhigh,68.28860928585556,2
18,claude_opus_4_8_max,63.16267323965712,3
18,gpt_5_6_sol_max,60.655701911054585,4
18,gemini_3_1_pro_high,60.082262484110956,5
18,claude_fable_5_max,50.898032122720934,6
18,kimi_k3_max,42.23857265382082,7
19,gpt_5_6_sol_max,87.50281536764635,1
19,claude_opus_4_8_max,56.24482489573478,2
19,claude_fable_5_max,51.00538642968195,3
19,gpt_5_5_xhigh,45.34516477077982,4
19,gemini_3_1_pro_high,24.856549852125955,5
19,kimi_k3_max,23.8097013611486,6
19,qwen3_8_max,20.512502224997995,7
20,claude_fable_5_max,70.87221556544941,1
20,claude_opus_4_8_max,44.13760670079298,2
20,gpt_5_6_sol_max,41.285806401941265,3
20,gpt_5_5_xhigh,40.631527462821616,4
20,kimi_k3_max,29.22244342225942,5
20,gemini_3_1_pro_high,27.29583429851457,6
20,qwen3_8_max,24.661137624541784,7
21,claude_opus_4_8_max,58.897381631346256,1
21,gpt_5_5_xhigh,44.086326086705625,2
21,claude_fable_5_max,38.68046381149557,3
21,qwen3_8_max,38.5743058657734,4
21,gpt_5_6_sol_max,33.77688701353068,5
21,kimi_k3_max,27.97842567883011,6
21,gemini_3_1_pro_high,21.416594979759385,7
22,claude_fable_5_max,88.03672637436132,1
22,claude_opus_4_8_max,58.23051661143397,2
22,qwen3_8_max,47.09580227244969,3
22,gpt_5_6_sol_max,37.232237705636386,4
22,kimi_k3_max,34.336275853946965,5
22,gemini_3_1_pro_high,29.301280286639425,6
22,gpt_5_5_xhigh,25.733242266562517,7
23,claude_fable_5_max,90.66067932753857,1
23,qwen3_8_max,57.09790045535836,2
23,gpt_5_5_xhigh,52.555083660892166,3
23,kimi_k3_max,42.474704711845405,4
23,gemini_3_1_pro_high,41.95274676919186,5
23,gpt_5_6_sol_max,36.8381505990404,6
23,claude_opus_4_8_max,9.878316745803334,7
24,gpt_5_5_xhigh,51.05949282679167,1
24,gpt_5_6_sol_max,45.105392530583295,2
24,claude_fable_5_max,34.46246486625417,3
24,qwen3_8_max,33.575018436892314,4
24,kimi_k3_max,18.83590650909877,5
24,claude_opus_4_8_max,16.75453969620681,6
24,gemini_3_1_pro_high,15.153849078335451,7
25,gpt_5_6_sol_max,79.06694661679253,1
25,claude_opus_4_8_max,64.75186199144987,2
25,gemini_3_1_pro_high,45.020338990476795,3
25,gpt_5_5_xhigh,34.62669509116628,4
25,claude_fable_5_max,26.210445372675007,5
25,kimi_k3_max,25.83938783112454,6
25,qwen3_8_max,21.67612284787513,7
26,gpt_5_5_xhigh,69.78040895710336,1
26,kimi_k3_max,57.80830779264058,2
26,qwen3_8_max,48.882269237395356,3
26,claude_opus_4_8_max,46.42339304053451,4
26,gemini_3_1_pro_high,40.80549145517607,5
26,claude_fable_5_max,31.558523987471535,6
26,gpt_5_6_sol_max,28.22337056997408,7
27,claude_opus_4_8_max,77.90923606598457,1
27,gemini_3_1_pro_high,62.79235507027026,2
27,kimi_k3_max,59.30803956880348,3
27,gpt_5_5_xhigh,39.067630210349286,4
27,gpt_5_6_sol_max,34.54562070170598,5
27,claude_fable_5_max,21.9947552871591,6
27,qwen3_8_max,18.971214060047267,7
28,claude_opus_4_8_max,92.5394215727891,1
28,gpt_5_5_xhigh,66.39208380892156,2
28,gemini_3_1_pro_high,52.55401448205333,3
28,qwen3_8_max,48.82462704803525,4
28,gpt_5_6_sol_max,39.97395920908319,5
28,kimi_k3_max,30.465236704391657,6
28,claude_fable_5_max,20.517900986255256,7
29,gpt_5_6_sol_max,72.83219271165709,1
29,gemini_3_1_pro_high,68.78415899992291,2
29,gpt_5_5_xhigh,67.90298246429319,3
29,kimi_k3_max,50.353003287571994,4
29,claude_opus_4_8_max,42.63495058190007,5
29,qwen3_8_max,23.573267456647887,6
29,claude_fable_5_max,14.125006245747912,7
30,claude_opus_4_8_max,69.7561044556349,1
30,kimi_k3_max,58.44580437326398,2
30,claude_fable_5_max,51.826460050049405,3
30,gpt_5_5_xhigh,34.12707495459779,4
30,gemini_3_1_pro_high,29.607841107496483,5
30,qwen3_8_max,24.756230430935695,6
30,gpt_5_6_sol_max,23.657030787724757,7
31,claude_fable_5_max,78.15173160015185,1
31,claude_opus_4_8_max,73.46749831186163,2
31,gemini_3_1_pro_high,65.14995227937632,3
31,gpt_5_5_xhigh,42.681317521418464,4
31,qwen3_8_max,36.07847873678352,5
31,kimi_k3_max,17.442323272903558,6
31,gpt_5_6_sol_max,15.27029710210854,7
32,claude_fable_5_max,76.53724526347526,1
32,gpt_5_6_sol_max,49.932881488125005,2
32,claude_opus_4_8_max,38.5768961091835,3
32,qwen3_8_max,37.96143664298754,4
32,gpt_5_5_xhigh,37.623497576135506,5
32,gemini_3_1_pro_high,32.215492643132926,6
32,kimi_k3_max,27.88006652847689,7
33,gemini_3_1_pro_high,82.21214064261228,1
33,kimi_k3_max,69.39872051379815,2
33,gpt_5_6_sol_max,51.62033797133649,3
33,claude_fable_5_max,51.397899332456184,4
33,gpt_5_5_xhigh,48.210092086374175,5
33,qwen3_8_max,21.649956511383913,6
33,claude_opus_4_8_max,21.466014552489593,7
34,claude_fable_5_max,62.090890973233634,1
34,kimi_k3_max,57.60770036159542,2
34,claude_opus_4_8_max,57.196349165142145,3
34,gemini_3_1_pro_high,51.96187507981902,4
34,gpt_5_6_sol_max,45.92673189636006,5
34,gpt_5_5_xhigh,35.21055560314737,6
34,qwen3_8_max,34.30726983142199,7
35,claude_opus_4_8_max,79.22082925935538,1
35,claude_fable_5_max,69.94625919675585,2
35,gemini_3_1_pro_high,64.69147896871523,3
35,qwen3_8_max,54.61252503211338,4
35,gpt_5_5_xhigh,38.627819019673424,5
35,gpt_5_6_sol_max,32.32770463774377,6
35,kimi_k3_max,15.6214091012416,7
36,kimi_k3_max,79.7807379773381,1
36,gpt_5_5_xhigh,60.015492769091935,2
36,gpt_5_6_sol_max,47.11897926158246,3
36,claude_opus_4_8_max,47.10378279820984,4
36,claude_fable_5_max,45.181913275028094,5
36,qwen3_8_max,30.836956155909753,6
36,gemini_3_1_pro_high,17.580670559767583,7
37,gemini_3_1_pro_high,55.940053144862134,1
37,claude_fable_5_max,52.079620159035116,2
37,gpt_5_6_sol_max,51.80216777200517,3
37,qwen3_8_max,50.84363411419927,4
37,gpt_5_5_xhigh,42.209901912999285,5
37,kimi_k3_max,35.43902039084843,6
37,claude_opus_4_8_max,15.759796124157699,7
38,gpt_5_6_sol_max,80.68423913215048,1
38,claude_fable_5_max,63.71575430691719,2
38,qwen3_8_max,54.42908514291245,3
38,gemini_3_1_pro_high,51.26821730397967,4
38,claude_opus_4_8_max,44.16635321363648,5
38,kimi_k3_max,33.9045251957476,6
38,gpt_5_5_xhigh,33.56460510284071,7
39,gpt_5_5_xhigh,73.36543018298666,1
39,claude_fable_5_max,50.28599847067517,2
39,kimi_k3_max,38.18061077933335,3
39,gemini_3_1_pro_high,38.08472779506604,4
39,gpt_5_6_sol_max,37.861528319129,5
39,qwen3_8_max,27.89398974862805,6
39,claude_opus_4_8_max,25.25235468685211,7
40,claude_opus_4_8_max,79.37013129321132,1
40,claude_fable_5_max,65.45539209515137,2
40,kimi_k3_max,60.728904892883875,3
40,qwen3_8_max,54.49766147322854,4
40,gpt_5_6_sol_max,38.33590224116159,5
40,gpt_5_5_xhigh,36.77181904946887,6
40,gemini_3_1_pro_high,18.915232825981093,7
41,kimi_k3_max,66.15123067255894,1
41,gemini_3_1_pro_high,66.1008468771569,2
41,qwen3_8_max,65.74455945256187,3
41,claude_opus_4_8_max,64.00678766508162,4
41,gpt_5_6_sol_max,61.902292912008534,5
41,claude_fable_5_max,35.9133141668079,6
41,gpt_5_5_xhigh,14.082466509042552,7
42,gpt_5_6_sol_max,74.91604671831863,1
42,claude_fable_5_max,50.484378292635355,2
42,gpt_5_5_xhigh,49.88034474879181,3
42,gemini_3_1_pro_high,45.769931542655385,4
42,qwen3_8_max,41.01508893584079,5
42,claude_opus_4_8_max,39.338642891957846,6
42,kimi_k3_max,34.47002979850646,7
43,claude_fable_5_max,84.3837661762272,1
43,gpt_5_6_sol_max,61.24169008651402,2
43,gpt_5_5_xhigh,56.8606091323168,3
43,gemini_3_1_pro_high,53.787013526203275,4
43,kimi_k3_max,36.78750545963453,5
43,claude_opus_4_8_max,36.359641971925655,6
43,qwen3_8_max,35.78334414402522,7
44,claude_opus_4_8_max,76.77234294882722,1
44,qwen3_8_max,76.00663762519471,2
44,claude_fable_5_max,74.62088894522032,3
44,gpt_5_6_sol_max,58.55275676077463,4
44,gemini_3_1_pro_high,49.93280085690192,5
44,gpt_5_5_xhigh,48.7743611487309,6
44,kimi_k3_max,10.592357633019105,7
45,claude_fable_5_max,61.50792621525092,1
45,gemini_3_1_pro_high,53.195486667201344,2
45,gpt_5_6_sol_max,53.050432754426595,3
45,gpt_5_5_xhigh,43.492903225908535,4
45,qwen3_8_max,42.024492296907,5
45,claude_opus_4_8_max,37.685468712071064,6
45,kimi_k3_max,32.170481802060785,7
46,kimi_k3_max,77.00937460800127,1
46,claude_fable_5_max,59.57908945910272,2
46,gpt_5_6_sol_max,55.110626429000305,3
46,gpt_5_5_xhigh,49.02982608482375,4
46,gemini_3_1_pro_high,47.24415559400737,5
46,qwen3_8_max,38.96767177695027,6
46,claude_opus_4_8_max,24.03375602910511,7
47,claude_fable_5_max,66.32850828155321,1
47,gemini_3_1_pro_high,51.55863419402392,2
47,gpt_5_6_sol_max,49.765232552780866,3
47,qwen3_8_max,37.919750207698996,4
47,kimi_k3_max,34.04432009145437,5
47,gpt_5_5_xhigh,32.26383304358894,6
47,claude_opus_4_8_max,26.37673810049413,7
48,gemini_3_1_pro_high,68.92768679873387,1
48,gpt_5_5_xhigh,59.818544383674386,2
