bootstrap,dimension,model_id,theta
3,C1,qwen3_8_max,0.002307707017293946
3,C1,glm_5_2_max,-0.016379319064873527
3,C2,kimi_k3_max,-0.03329429276691813
3,C2,gpt_5_6_sol_max,-0.0259912310109392
3,C2,gpt_5_5_xhigh,0.015119394528614513
3,C2,claude_fable_5_max,-0.02717979656230682
3,C2,claude_opus_4_8_max,0.0001199329203717281
3,C2,gemini_3_1_pro_high,0.002743444535894615
3,C2,deepseek_v4_pro_max,-0.0027771259793392413
3,C2,deepseek_v4_flash_max,-0.020034924494665658
3,C2,qwen3_8_max,0.019773518030396568
3,C2,glm_5_2_max,0.07152108079889163
3,C3,kimi_k3_max,0.03220530600892272
3,C3,gpt_5_6_sol_max,0.009925138223490098
3,C3,gpt_5_5_xhigh,-0.002829921498570188
3,C3,claude_fable_5_max,0.0008031022801460434
3,C3,claude_opus_4_8_max,-0.020382774410061297
3,C3,gemini_3_1_pro_high,-0.08754157907755183
3,C3,deepseek_v4_pro_max,-0.03601247585563855
3,C3,deepseek_v4_flash_max,0.11265431542688972
3,C3,qwen3_8_max,-0.019819459742016574
3,C3,glm_5_2_max,0.010998348644389866
3,C4,kimi_k3_max,0.013063499084963166
3,C4,gpt_5_6_sol_max,0.017167591334699594
3,C4,gpt_5_5_xhigh,0.02051132349882627
3,C4,claude_fable_5_max,0.002180722686784852
3,C4,claude_opus_4_8_max,-0.0227785441997291
3,C4,gemini_3_1_pro_high,-0.004549248286056582
3,C4,deepseek_v4_pro_max,-0.1088233327614569
3,C4,deepseek_v4_flash_max,0.10376512607141221
3,C4,qwen3_8_max,-0.007458017858059168
3,C4,glm_5_2_max,-0.013079119571384341
3,C5,kimi_k3_max,-0.09036231458698879
3,C5,gpt_5_6_sol_max,0.04772453182436548
3,C5,gpt_5_5_xhigh,-0.038630849560962334
3,C5,claude_fable_5_max,-0.008313327803275473
3,C5,claude_opus_4_8_max,0.061658039841162054
3,C5,gemini_3_1_pro_high,-0.003859691016541648
3,C5,deepseek_v4_pro_max,
3,C5,deepseek_v4_flash_max,
3,C5,qwen3_8_max,0.03178361130224071
3,C5,glm_5_2_max,
4,C1,kimi_k3_max,0.005419128254347463
4,C1,gpt_5_6_sol_max,-0.013579530933704126
4,C1,gpt_5_5_xhigh,-0.02942613119787685
4,C1,claude_fable_5_max,-0.03538125439546948
4,C1,claude_opus_4_8_max,0.008030453456731722
4,C1,gemini_3_1_pro_high,-0.00921375239739602
4,C1,deepseek_v4_pro_max,0.01796767194987046
4,C1,deepseek_v4_flash_max,0.029634269258348077
4,C1,qwen3_8_max,0.00298560929367042
4,C1,glm_5_2_max,0.023563536711478327
4,C2,kimi_k3_max,-0.03923370388366915
4,C2,gpt_5_6_sol_max,-0.012813480196944532
4,C2,gpt_5_5_xhigh,-0.01570595462321735
4,C2,claude_fable_5_max,0.002770119838196497
4,C2,claude_opus_4_8_max,0.022788444023575268
4,C2,gemini_3_1_pro_high,0.0012349006638686362
4,C2,deepseek_v4_pro_max,-0.01638333316927646
4,C2,deepseek_v4_flash_max,0.018047530891512297
4,C2,qwen3_8_max,0.0843540515957534
4,C2,glm_5_2_max,-0.045058575139798614
4,C3,kimi_k3_max,0.004769009448612797
4,C3,gpt_5_6_sol_max,-0.014315722471499677
