bootstrap,dimension,model_id,score
3,C2,glm_5_2_max,100.0
3,C3,kimi_k3_max,59.814855535820115
3,C3,gpt_5_6_sol_max,48.68567237220718
3,C3,gpt_5_5_xhigh,42.3143830140344
3,C3,claude_fable_5_max,44.12911742090588
3,C3,claude_opus_4_8_max,33.546544415275484
3,C3,gemini_3_1_pro_high,0.0
3,C3,deepseek_v4_pro_max,25.739340634065826
3,C3,deepseek_v4_flash_max,100.0
3,C3,qwen3_8_max,33.82792614362668
3,C3,glm_5_2_max,49.221752506895434
3,C4,kimi_k3_max,57.33464201941648
3,C4,gpt_5_6_sol_max,59.26517591211615
3,C4,gpt_5_5_xhigh,60.8380421826955
3,C4,claude_fable_5_max,52.21546647342221
3,C4,claude_opus_4_8_max,40.47481647598458
3,C4,gemini_3_1_pro_high,49.04973912877254
3,C4,deepseek_v4_pro_max,0.0
3,C4,deepseek_v4_flash_max,100.0
3,C4,qwen3_8_max,47.681475965300734
3,C4,glm_5_2_max,45.03735231710951
3,C5,kimi_k3_max,0.0
3,C5,gpt_5_6_sol_max,90.83444577588986
3,C5,gpt_5_5_xhigh,34.02930168175356
3,C5,claude_fable_5_max,53.97236908988528
3,C5,claude_opus_4_8_max,100.0
3,C5,gemini_3_1_pro_high,56.902000982592604
3,C5,deepseek_v4_pro_max,
3,C5,deepseek_v4_flash_max,
3,C5,qwen3_8_max,80.34840225751424
3,C5,glm_5_2_max,
4,C1,kimi_k3_max,62.75483201067971
4,C1,gpt_5_6_sol_max,33.53310445956119
4,C1,gpt_5_5_xhigh,9.159540464983943
4,C1,claude_fable_5_max,0.0
4,C1,claude_opus_4_8_max,66.77129616513082
4,C1,gemini_3_1_pro_high,40.24808311535759
4,C1,deepseek_v4_pro_max,82.05567431772494
4,C1,deepseek_v4_flash_max,100.0
4,C1,qwen3_8_max,59.01185060575467
4,C1,glm_5_2_max,90.66264146514602
4,C2,kimi_k3_max,4.501006897906711
4,C2,gpt_5_6_sol_max,24.91649830178106
4,C2,gpt_5_5_xhigh,22.681419315104254
4,C2,claude_fable_5_max,36.95829084416204
4,C2,claude_opus_4_8_max,52.426892858001985
4,C2,gemini_3_1_pro_high,35.771993020638995
4,C2,deepseek_v4_pro_max,22.157993925212974
4,C2,deepseek_v4_flash_max,48.763484385696735
4,C2,qwen3_8_max,100.0
4,C2,glm_5_2_max,0.0
4,C3,kimi_k3_max,44.73005863590277
4,C3,gpt_5_6_sol_max,23.746985267672063
4,C3,gpt_5_5_xhigh,53.42719773944481
4,C3,claude_fable_5_max,33.83355481879372
4,C3,claude_opus_4_8_max,62.22763323688021
4,C3,gemini_3_1_pro_high,0.0
4,C3,deepseek_v4_pro_max,5.96612988112899
4,C3,deepseek_v4_flash_max,99.99999999999999
4,C3,qwen3_8_max,36.15626587737101
4,C3,glm_5_2_max,34.77897478793514
4,C4,kimi_k3_max,53.462412336946635
4,C4,gpt_5_6_sol_max,29.07914255628714
4,C4,gpt_5_5_xhigh,63.079427227366175
4,C4,claude_fable_5_max,54.40655981565737
4,C4,claude_opus_4_8_max,72.59469182454492
4,C4,gemini_3_1_pro_high,49.592177934071245
4,C4,deepseek_v4_pro_max,0.0
4,C4,deepseek_v4_flash_max,100.0
4,C4,qwen3_8_max,52.33073379967817
4,C4,glm_5_2_max,45.2631915205626
4,C5,kimi_k3_max,0.0
4,C5,gpt_5_6_sol_max,3.588720743802803
4,C5,gpt_5_5_xhigh,100.0
4,C5,claude_fable_5_max,79.90690447639412
4,C5,claude_opus_4_8_max,5.916462660520568
4,C5,gemini_3_1_pro_high,90.60857371251308
4,C5,deepseek_v4_pro_max,
4,C5,deepseek_v4_flash_max,
4,C5,qwen3_8_max,26.62546297763509
4,C5,glm_5_2_max,
5,C1,kimi_k3_max,100.0
5,C1,gpt_5_6_sol_max,21.6785226676892
5,C1,gpt_5_5_xhigh,80.32388408680441
5,C1,claude_fable_5_max,16.159190126705393
5,C1,claude_opus_4_8_max,23.341020701994008
5,C1,gemini_3_1_pro_high,92.58211236084465
5,C1,deepseek_v4_pro_max,34.987991108653034
5,C1,deepseek_v4_flash_max,75.4488029786696
5,C1,qwen3_8_max,42.10840420672911
5,C1,glm_5_2_max,0.0
5,C2,kimi_k3_max,56.58445145461833
5,C2,gpt_5_6_sol_max,9.793387679748303
5,C2,gpt_5_5_xhigh,67.46827492014837
5,C2,claude_fable_5_max,100.0
5,C2,claude_opus_4_8_max,47.774744272792674
5,C2,gemini_3_1_pro_high,13.58124430434844
5,C2,deepseek_v4_pro_max,32.13803682245989
5,C2,deepseek_v4_flash_max,0.0
5,C2,qwen3_8_max,13.085995585728208
5,C2,glm_5_2_max,46.90988924703364
5,C3,kimi_k3_max,38.22714510273958
5,C3,gpt_5_6_sol_max,34.72299099541619
5,C3,gpt_5_5_xhigh,33.52556487204626
5,C3,claude_fable_5_max,35.26740661166597
5,C3,claude_opus_4_8_max,26.691823403917486
5,C3,gemini_3_1_pro_high,1.0020879712486466
5,C3,deepseek_v4_pro_max,100.0
5,C3,deepseek_v4_flash_max,0.0
5,C3,qwen3_8_max,38.103554639227426
5,C3,glm_5_2_max,29.83883803805365
5,C4,kimi_k3_max,71.75295242959442
5,C4,gpt_5_6_sol_max,42.59934890986845
5,C4,gpt_5_5_xhigh,61.07949792525029
5,C4,claude_fable_5_max,65.77593772016213
5,C4,claude_opus_4_8_max,32.004774814075375
